word,rating
admiration,2
robbery,3
peach,2
property,6
liar,2
figure,5
pie,2
lily,2
marriage,3
banana,2
tongue,4
steam,2
form,4
visitor,3
impossibility,2
situation,4
interaction,5
hog,2
vapor,2
acquisition,5
brawl,3
establishment,5
instructor,3
bird,2
opera,2
logic,5
fate,6
grammar,3
laughter,2
ignition,3
location,7
magnitude,6
soul,3
empty,2
rabbit,2
stimulus,5
rule,4
advice,3
queen,2
girl,2
decision,4
safety,5
hatred,2
confidence,4
boy,2
rent,3
crisis,4
extent,5
orchid,2
stranger,3
lock,6
betrayal,3
photo,2
macaroni,2
majority,4
electricity,3
fat,2
inn,3
road,7
capacity,5
view,4
personality,3
dove,2
brute,2
ambulance,3
pig,2
boundary,7
idea,3
baby,2
weather,2
vocabulary,3
flavor,2
toilet,2
show,3
murder,3
teacher,3
genuine,3
rainbow,2
foundation,5
fifteen,2
pond,2
acre,5
intention,4
skull,2
assistance,4
adversity,3
evidence,5
bag,2
square,5
menu,3
individual,4
punishment,3
reality,5
production,4
witness,3
dimension,7
advantage,5
hierarchy,5
crocodile,2
volume,6
degree,5
damage,3
rhyme,2
idiom,2
bottle,2
fisherman,2
mustard,2
behavior,4
body,3
faith,3
winter,2
purpose,5
determination,4
cloth,2
meeting,3
dagger,2
frustration,3
fog,2
philosophy,4
standard,4
eyeball,2
annoyance,3
democracy,4
cranberry,2
sword,2
loan,3
chicken,2
tide,3
law,5
cup,2
sofa,2
originality,3
weight,5
roof,7
candidate,3
job,2
subtraction,3
robin,2
necklace,2
ballot,3
memory,3
station,4
chair,2
refrigerator,3
result,4
thief,3
pimple,2
skunk,2
reputation,5
accident,3
method,4
parish,2
eight,2
justification,4
animal,2
sole,2
play,3
tendency,3
chipmunk,2
shirt,2
reinforcement,4
corporation,5
pawn,3
volt,2
money,3
cognition,4
talent,3
alligator,2
republic,4
orchestra,3
dad,2
door,7
beverage,2
suit,2
grief,3
misery,3
margin,4
response,4
site,7
ball,2
car,7
mile,7
season,3
disagreement,3
ability,4
tradition,3
speech,3
recital,3
requirement,4
theory,5
opinion,3
sadness,3
security,5
month,2
lake,2
band,2
stick,2
retention,4
revenge,3
atom,2
permission,3
frog,2
sneeze,2
ownership,6
trust,5
reduction,4
cow,2
character,3
accomplishment,4
policeman,3
increase,4
sandal,2
independence,5
window,3
wood,2
duel,3
christmas,2
bridge,3
deduction,5
territory,7
comprehension,4
equality,4
irrigation,3
bolt,2
moment,3
beast,2
bell,2
division,5
information,4
palace,5
crime,4
chlorine,2
river,3
paradigm,4
separation,6
state,5
cake,2
potato,2
lemon,2
mercy,3
suggestion,3
writing,2
bedroom,2
literature,3
heap,2
city,7
duration,4
fight,3
time,7
gun,7
smell,2
appeal,3
clean,2
perception,4
diet,2
stupidity,2
envy,2
owner,6
sky,7
ceremony,3
sow,2
helplessness,3
article,2
necessity,4
key,5
length,4
drug,2
belief,3
lamp,2
gorilla,2
onion,2
intelligence,4
bubble,2
effort,3
produce,3
rocket,3
lunch,2
topic,3
uncertainty,3
twig,2
puppy,2
ring,2
germ,2
file,2
conscience,3
economy,4
past,2
street,3
lettuce,2
translation,3
spirit,4
regret,3
story,2
mattress,2
preparation,2
traveler,2
gesture,2
comparison,2
newspaper,2
mileage,2
object,2
mosquito,2
heart,2
identity,2
nerve,3
consistency,2
sight,2
candy,2
radio,2
stride,2
protection,2
fallacy,2
linen,2
instinct,3
expression,2
raspberry,2
pretense,2
victim,2
father,2
opponent,2
beaver,2
lamb,2
arrangement,2
desk,2
ally,2
danger,2
message,3
preference,2
appointment,2
camera,2
music,2
brevity,2
destiny,2
propeller,2
anxiety,2
wolf,2
microscope,2
lobster,2
significance,2
improvement,2
occasion,2
freedom,5
kitten,2
shrimp,2
water,2
contempt,2
convergence,3
uniform,2
unity,2
hotel,2
peacemaker,2
wish,2
grandmother,2
possibility,2
episode,2
duty,2
horse,2
wave,5
metaphor,2
institute,2
contract,2
photograph,2
deputy,2
eagle,2
boulder,4
hurt,2
description,2
hurricane,2
reflex,2
flask,2
thorn,2
elephant,2
skin,2
doctor,2
specimen,2
professor,2
selection,2
bracelet,2
member,3
size,2
verse,2
core,2
friendship,2
honesty,2
proportion,5
correspondent,2
dozen,2
truck,2
fireplace,2
bank,2
autumn,2
iron,2
guilt,2
self,2
mansion,2
salad,2
nation,2
coupon,2
distribution,5
principle,2
mud,2
coffee,2
scholar,2
boredom,2
amount,2
cocktail,2
knife,2
injury,2
attitude,3
jewel,2
miracle,2
riddle,2
scene,2
puddle,2
mastery,2
skill,2
odor,2
truth,3
edge,3
woman,2
bullet,2
conclusion,3
name,2
abundance,2
entree,2
food,2
ambition,2
charity,2
sugar,2
fantasy,2
integrity,2
diversity,2
stapler,2
magic,2
announcement,2
wisdom,2
calculation,2
butter,2
ditch,2
coincidence,3
prop,2
tragedy,2
latch,2
artist,2
charter,2
diamond,2
drum,2
origin,2
material,2
crown,2
mold,2
mother,2
lizard,2
alphabet,2
apology,2
hat,2
cat,2
paragraph,3
instance,3
border,5
neighborhood,2
outfit,2
tallness,2
fact,2
introduction,2
anger,2
beetle,2
wallet,2
opposition,2
claim,2
complication,2
empire,2
pill,2
second,2
costume,2
relief,2
effect,2
poetry,2
construction,4
measure,5
competence,2
infection,2
emergence,2
handkerchief,2
hazard,2
hospital,2
duck,2
silence,2
darkness,2
master,3
cliff,4
corn,2
resort,2
error,2
grasshopper,2
lip,2
variety,2
incident,3
incentive,2
brain,2
number,2
summer,2
tool,2
supply,2
risk,2
consideration,2
disgust,2
branch,2
blood,2
tension,3
chocolate,2
corpse,2
unit,2
exception,2
guess,2
brother,2
moral,2
circumstance,3
quality,2
accumulation,2
lane,2
nose,2
assumption,2
snake,2
peace,2
ocean,2
blade,2
university,2
psalm,2
moonlight,2
route,2
interruption,2
thing,2
cucumber,2
pest,2
clothing,2
ceiling,2
future,2
shame,2
leopard,2
outcome,2
oven,2
three,2
satisfaction,3
kindness,2
laundry,2
neck,2
value,2
student,2
coffin,2
love,2
design,2
physics,2
group,3
shock,2
clearance,2
factory,2
tennis,2
lisp,2
midnight,2
cause,2
income,2
pyramid,3
volcano,2
tree,2
waste,2
medicine,2
chance,2
conference,2
entrance,2
combination,2
loafer,2
exclusion,2
television,2
jerk,2
example,2
attention,2
promotion,2
itch,2
definition,2
criticism,2
manner,2
caterpillar,2
recognition,3
insight,2
shape,2
obstruction,2
pigeon,2
willingness,2
park,2
curfew,2
boat,2
availability,2
line,2
ignorance,2
landscape,2
butterfly,2
saloon,2
snow,2
myth,2
alley,2
child,2
legality,2
kite,2
sedative,2
occupation,2
tip,2
bet,2
burner,2
missile,2
replacement,2
sister,2
awareness,2
temperature,2
chief,2
poll,2
record,2
industry,2
bandit,2
lesson,2
lightning,2
affection,2
malice,2
cottage,2
grass,2
drama,2
jacket,2
guide,3
deceit,2
item,2
phenomenon,2
despair,2
opportunity,2
distraction,2
uncle,2
typewriter,2
dentist,2
distance,5
context,5
enemy,2
squeak,2
calendar,2
explanation,3
immortality,2
irony,2
assault,2
real,2
zoo,2
pillow,2
presence,6
heresy,2
interior,2
want,2
mystery,2
apple,2
ankle,2
beauty,2
reason,3
holiday,2
underworld,2
disaster,2
adventurer,2
forest,2
regulation,2
specialist,3
shark,2
composer,2
consequence,5
church,2
vision,2
amplitude,2
justice,3
engagement,2
synagogue,2
performance,2
trumpet,2
riot,2
worry,2
sanctuary,2
math,2
imagination,2
mountain,5
issue,2
knowledge,2
fountain,2
circuit,2
mankind,2
debt,2
limitation,2
pile,2
tax,4
inch,2
lion,2
helmet,2
denial,2
scent,3
identification,2
impairment,2
cowardice,2
atrocity,2
starch,2
temple,2
island,2
spider,2
rebel,2
salary,2
march,2
dynasty,2
importance,2
prediction,3
lens,2
hope,2
leadership,2
difference,4
leader,3
tune,2
disappointment,2
proof,2
segment,2
development,3
towel,2
fear,2
tomato,2
category,2
football,2
event,2
pool,2
payment,2
dilemma,2
attempt,2
benefactor,2
suspect,2
hobby,2
art,2
thought,2
youth,2
addition,2
bed,2
gender,2
mind,2
arrow,2
donor,2
shortness,2
escape,2
arc,2
spelling,2
wage,2
responsibility,2
nurse,2
fabric,2
aspect,2
