word,rating
truth,3
legality,4
drug,5
stranger,4
band,5
hotel,5
material,5
lesson,4
victim,4
extent,5
burner,5
suggestion,5
dagger,6
site,5
consequence,5
thing,5
degree,5
unity,6
duty,5
combination,5
guess,4
tool,6
incentive,5
anger,5
manner,5
satisfaction,5
supply,5
bag,5
paragraph,5
neighborhood,5
trust,5
philosophy,4
route,5
father,5
wolf,5
vocabulary,5
incident,5
teacher,5
contract,5
factory,5
rabbit,5
reality,6
territory,5
chief,5
salary,5
outcome,5
past,5
assumption,4
institute,5
chicken,5
street,5
willingness,5
reinforcement,5
crocodile,5
diet,5
bet,5
entree,5
fog,6
rule,5
example,5
moment,5
uncle,5
deputy,5
cow,5
result,5
coincidence,5
thorn,5
fat,5
occasion,5
mile,5
advantage,5
rent,5
time,5
spirit,5
corporation,5
helmet,5
composer,5
distance,5
engagement,5
duel,5
gender,5
individual,5
specialist,5
mankind,5
sky,6
gesture,5
cliff,5
line,5
tree,6
promotion,5
donor,5
acquisition,5
leader,5
replacement,5
flask,5
obstruction,5
pest,5
confidence,5
episode,5
show,5
hurricane,5
eight,5
calendar,5
bank,5
meeting,5
necklace,5
opposition,5
miracle,5
peach,5
christmas,5
vision,6
tension,5
odor,5
inch,5
perception,5
appointment,5
cocktail,5
blade,5
truck,5
peacemaker,5
marriage,5
chair,5
cranberry,5
payment,5
belief,5
microscope,6
significance,5
speech,5
cause,5
loan,5
entrance,5
lock,5
tennis,5
bed,5
retention,5
skunk,5
silence,5
coffee,5
scholar,5
holiday,5
paradigm,5
river,5
limitation,5
volt,5
description,5
bird,5
diversity,5
salad,5
trumpet,5
child,5
march,5
stride,5
apology,5
boulder,5
fallacy,5
shortness,5
knowledge,5
kite,5
diamond,5
starch,5
hat,5
pimple,5
advice,5
costume,5
mileage,5
exception,5
mud,5
skin,5
brevity,5
blood,5
record,5
puppy,5
heap,5
lobster,5
robbery,5
spelling,5
stapler,5
fabric,5
vapor,5
poll,5
road,5
handkerchief,5
stick,5
hospital,5
job,5
grammar,5
radio,5
irrigation,5
genuine,5
location,5
personality,5
waste,5
darkness,5
island,5
guilt,5
pie,5
difference,5
mastery,5
bullet,5
insight,5
metaphor,5
lunch,5
faith,5
midnight,5
typewriter,5
bolt,5
wood,5
disappointment,5
ignition,5
quality,5
conclusion,5
ballot,5
bracelet,5
propeller,5
hierarchy,5
escape,5
definition,5
grasshopper,5
identity,5
skull,5
preference,5
temple,5
nose,5
interruption,5
item,5
mold,5
disagreement,5
zoo,5
cucumber,5
mother,5
crime,5
electricity,5
friendship,5
sight,6
sister,5
value,5
atrocity,5
ignorance,5
establishment,5
sow,5
charity,5
shame,5
woman,5
tradition,5
arc,5
refrigerator,5
sedative,5
safety,5
murder,5
fantasy,5
mustard,5
grandmother,5
liar,5
coupon,5
nation,5
animal,5
knife,5
reason,5
intention,5
honesty,5
uniform,5
protection,5
pool,5
addition,5
story,5
awareness,5
adventurer,5
fireplace,5
state,5
frog,5
performance,5
squeak,5
mansion,5
station,5
emergence,5
edge,5
division,5
issue,5
betrayal,5
linen,5
potato,5
grass,5
roof,5
kitten,5
punishment,5
bottle,5
sandal,5
number,5
irony,5
riddle,5
pretense,5
consideration,5
category,4
lisp,3
chance,4
queen,5
origin,4
brute,3
calculation,5
jerk,3
adversity,4
logic,5
majority,4
claim,4
selection,5
flavor,5
measure,4
ceiling,5
oven,4
apple,5
independence,3
affection,5
hurt,4
loafer,4
underworld,5
improvement,5
tip,4
method,4
view,5
name,5
translation,5
member,4
lake,5
macaroni,4
corpse,4
intelligence,5
alley,4
rainbow,6
love,5
beetle,4
ally,4
leopard,5
injury,4
uncertainty,4
justification,4
tendency,4
attitude,5
context,5
lemon,4
twig,4
aspect,4
door,5
menu,5
impairment,3
pond,5
water,5
capacity,5
self,5
figure,5
snow,5
moral,4
duck,4
cake,5
dentist,3
riot,4
risk,4
clothing,4
attempt,4
destiny,5
margin,4
brain,5
design,5
rhyme,5
exclusion,4
brawl,4
youth,5
prop,4
situation,5
peace,5
resort,5
explanation,5
effect,4
presence,5
gun,5
effort,4
disaster,5
park,5
